repo,total_classes_retornadas,classes_avaliadas,classes_corretas,precisao_estimada,execucao,classes_corretas_estimadas,ic95_inf,ic95_sup
astroid,97,73,70,0.958904109589041,LLM Execução 1,93.01369863013699,0.8859990837370165,0.9859260596460794
jedi,19,11,11,1.0,LLM Execução 1,19.0,0.7411670330319682,1.0
parso,22,17,17,1.0,LLM Execução 1,22.0,0.8156818649911481,1.0
requests,6,4,4,1.0,LLM Execução 1,6.0,0.5101091635454025,1.0
astroid,101,72,72,1.0,LLM Execução 2,101.0,0.9493488274035422,1.0
jedi,15,14,13,0.9285714285714286,LLM Execução 2,13.928571428571429,0.6853129557584887,0.987277784752109
parso,24,16,16,1.0,LLM Execução 2,24.0,0.8063923194655633,1.0
requests,6,4,4,1.0,LLM Execução 2,6.0,0.5101091635454025,1.0
astroid,104,77,77,1.0,LLM Execução 3,104.0,0.9524815747175658,0.9999999999999999
jedi,16,11,11,1.0,LLM Execução 3,16.0,0.7411670330319682,1.0
parso,24,17,17,1.0,LLM Execução 3,24.0,0.8156818649911481,1.0
requests,6,4,4,1.0,LLM Execução 3,6.0,0.5101091635454025,1.0
